name,line
Dory,field trip ooh love field trips going
Mr. Ray,thought told
Marlin,tell uh dory
Dory,yeah
Marlin,mr ray many fish keep eye today
Dory,uhhuh
Marlin,uh would best today
Dory,mmhm
Marlin,werent exactly class
Dory,oh
Marlin,well know problems remembering things sometimes
Dory,thats one thing remember yes
Marlin,okay sometimes fault cause wander
Dory,mmhm
Marlin,mr ray doesnt really time worry uh fish wander
Dory,sure
Marlin,words doesnt enough help
Dory,poor guy know hes overworked
Marlin,understand
Dory,totally understand
Marlin,okay
Dory,mhmm
Marlin,good
Dory,wants teachers assistant
Marlin,uh exactly
Dory,wow honored never teaching assistant
Marlin,mr ray got help
Mr. Ray,oh ho ho okey dokey right kids
Dory,right kids
Mr. Ray,todays day
Dory,todays day
Mr. Ray,field trip sting ray migration
Dory,sting ray migration
Mr. Ray,anyone know migrate
Dory,come got know stuff
Mr. Ray,migration going back
Kathy,bed
Dory,yes
Student,sand
Mr. Ray,migration going home
Dory,home
Mr. Ray,youre
Dory,youre
Mr. Ray,someone tell theyre
Green Student,live giant rock
Blue Student,live coral caves away
Kathy,house covered algae
Student 2,whered grow dory
Dory,um dont know family help im sorry forget see suffer
Class,shortterm memory loss
Kathy,remember family shortterm memory loss
Dory,good question see remember things well uh make sense like um family know ivei must come somewhere right everyone family may remember names look like may even able ever find um talking
Nemo,mommies daddies
Dory,mommies daddies right talking mommies daddies oh oh class uhoh okay guys seem little young um okay see kids two fish love
Mr. Ray,well stop right climb aboard explorers feel migration song coming oh migration migration lets learn migration natures inspiration move around sea heres scientific promise fish oceanodromous
Dory,everyone go im oh im back
Mr. Ray,plus minus degrees based solar positioning oh kids stay away edge
Dory,okay hear okay everybody stay back edge come
Mr. Ray,ok thats far
Dory,thats far come come get back back way
Mr. Ray,need everyone listen
Dory,right listen
Mr. Ray,rays pass
Dory,rays theyre gon na pass
Mr. Ray,careful
Dory,everybody careful hmm
Class,undertow
Mr. Ray,thats right
Dory,thats right underthe undertow
Mr. Ray,current created flapping strong youre careful get pulled
Nemo,mr ray stingrays know go
Mr. Ray,thats instinct nemo something deep inside feels familiar listen like song youve always known hear mine
Migrating Rays,fro hearts know go beating like drum sends us back oh going home know time travel far days nights well roam make way back home oh going home swimming fro
Dory,wow
Migrating Rays,hearts know go beating like drum sends us back oh going home
Dory,see undertow say ah
Nemo,dory
Jenny,dory
Charlie,dory
Mr. Ray,dory dory
Kathy,dead
Mr. Ray,shes dead
Class,aw oh man
Mr. Ray,give space everybody
Dory,jewel morro bay california
Nemo,jewel morro bay california
Dory,remembered something remembered something actually remembered something something important
Marlin,something important
Dory,uh im sure still feel right
Marlin,right thank mr ray
Dory,okay come try remember better dont dory dory hmm dont know ihold hold uh oh oh
Nemo,remember
Dory,ugh dont remember something oh oh oh something
Nemo,jewel morro bay california
Dory,family remember family theyre somewhere find guys got ta help guys guys hello guys
Marlin,dory
Dory,oh
Marlin,dory
Dory,go
Marlin,one go
Dory,parents remember
Nemo,remember
Dory,remember mom dad family dont know lets go
Marlin,dory
Dory,go
Marlin,crazy exactly trying go
Dory,gym baltic
Nemo,jewel morro bay california
Dory,yes
Marlin,dory morro bay way across ocean
Dory,better get going
Marlin,come every time edge reef one us trying leave cant enjoy view
Dory,talking view remember family
Marlin,weve done enough ocean travels part lives reason travel first place dont travel ever
Dory,yeah want
Marlin,dory look
Dory,please know miss really really miss didnt know felt like know feels like
Marlin,yes know feels like
Dory,dont want forget somewhere family please marlin cant find ill forget please help find family
Nemo,yeah dad get us way across ocean right
Marlin,know guy
Crush,whoohoo righteous righteous righteous
Marlin,totally sick totally sick
Crush,know isnt great
Marlin,im gon na totally sick
Crush,california current dude got gnarly chop surfs dude hey dude youre gon na hurl solid head back shell lean go distance
Squirt,call feeding fishes
Crush,correctamundo squirt
Dory,looking parents brooch atlantic
Nemo,jewel morro bay california
Dory,exactly
Turtle Hatchling 1,gon na find parents
Turtle Hatchling 2,remember look like
Dory,im bit new memory thing cant say sure something tells mostly blue maybe yellow
Nemo,sounds right
Dory,also im pretty sure im gon na know see family
Marlin,way crossing ocean kind thing one time
Crush,morro bay californias coming dudes
Dory,whoohoo lets find family
Crush,go go go go go
Nemo,go dad
Marlin,dont push nemo
Squirt,long little blue hope find parents
Crush,good luck feeding fishes
Marlin,late already fed
Dory,oh feels familiar mom dad
Marlin,dory dory wait wait
Dory,mom dad
Marlin,stop yelling second really think parents gon na floating around waiting
Dory,well dont know theres one way find mom dad
Nemo,yell louder dory
Dory,mom dad
Hermit Crabs,shh
Dory,wait ive heard remember someone saying shh
Marlin,yes well done one minute ago
Hermit Crabs,shh
Dory,huh
Young Dory,please seen mommy daddy names jenny charlie
Hermit Crabs,shh
Dory,jenny charlie
Marlin,jenny
Dory,names parents jenny charlie
Marlin,dory wait
Dory,jenny
Marlin,cant take moment come plan
Dory,jenny charlie
Hermit Crabs,sh
Marlin,crazy sorry shes little excited
Dory,jenny charlie
Marlin,dory stop yelling second good idea come new neighborhood call much attention
Dory,dont understand remembered parents names jenny charlie
Marlin,crabs locals get feeling theyre shushing us reason might wake something dangerous
Dory,talking like something one big eye tentacles snappy thing
Marlin,well thats specific something like yes general dont want oh goodness okay theres mistake backing away let us live well worship well build like monument oh ooh whoa swim life nemo
Dory,nemo
Nemo,dad
Marlin,nemo
Nemo,dad
Marlin,nemo hold dont let go
Nemo,dad
Marlin,dory dory slow chased anymore
Dory,sure jenny charlie jenny charlie remembered names keep going close huh
Marlin,nemo hurt
Dory,oh goodness nemo okay happened
Marlin,dory please
Dory,oh nemo oh oh
Nemo,im okay
Dory,oh nemo im sorry okay im sorry oh goodness nemo okay
Marlin,said youve done enough
Dory,oh fix ill go get help
Marlin,know dory go wait go wait forget best
Dory,youre right dont know thought could find family cant im sorry ill fix
Nemo,im okay
Dory,well im gon na get help okay okay ill itll right nemo hello someonehello anyone hello anyone
Sigourney Weaver,hello
Dory,hello
Sigourney Weaver,im sigourney weaver
Dory,oh hi sigourney need help
Sigourney Weaver,wont please join us
Dory,oh great great great
Sigourney Weaver,explore wonders pacific ocean amazing life holds within witness majesty beluga whale
Dory,sigourney weaver
Marlin,dory
Dory,guys found help sigourney weavers gon na tell us
Marlin,look
Male Aquarist,oh look
Female Aquarist,respect ocean life
Dory,marlin nemo
Nemo,dory
Female Aquarist,lets take inside see
Nemo,dory dory
Marlin,dont worry dory stay calm well come find
Sigourney Weaver,welcome marine life institute believe rescue rehabilitation release
Dory,marlin nemo hello hello help
Sick Fish,help
Dory,huh whats happening help
Male Aquarist 2,looks like done
Female Aquarist 2,dude cut youre scientist talked
Male Aquarist 2,oh come funny
Dory,oh boy okay ill fine need find way could get hold get hold youll fine everythings fine think positively
Hank,hey
Dory,oh
Hank,spinner
Dory,oh thank goodness hi im dory im
Hank,names hank sick
Dory,sick im sick
Hank,else would quarantine
Dory,oh long find family
Hank,right dont get hysterical uhoh good
Dory,happened whats
Hank,bad news transport tag fish cant cut inside institute get transferred permanent digs aquarium cleveland fish go back ocean cleveland fish stay forever
Dory,cleveland cant go cleveland get jewel morro bay california find family
Hank,thats place marine life institute jewel morro bay california youre
Dory,mean im parents get
Hank,exhibit
Dory,wait im exhibit one get
Hank,hmm thats hard one kid unless nah never work crazy
Dory,mean tell im okay crazy
Hank,know could see well theres one thing think help get family take
Dory,yes great idea take find didnt think
Hank,take tag take place transport truck go back inside find family give tag
Dory,tag theres tag fin
Hank,could forget tag fin
Dory,oh im sorry suffer shortterm memory loss
Hank,dont remember talking
Dory,mmmm clue talking
Hank,give tag
Dory,well kind like tag want
Hank,go go cleveland
Dory,cleveland hear good things cleveland want go
Hank,stay im gon na get released back ocean extremely unpleasant memories place want live glass box alone thats want give tag
Dory,hey man dont touch tag
Hank,look dont work like map place
Dory,map good idea take map figure parents oh boy
Hank,right get family give
Dory,dont much give tag
Hank,great idea
Marlin,absolutely sure thats said go wait forget thats best
Nemo,yeah dad
Marlin,said
Nemo,said dory swam surface got taken
Marlin,right dont want hear whole story asking one part look said im positive actually compliment asked wait said best oh fault fault got kidnapped taken whatever place restaurant
Fluke,oy two shut
Rudder,yeah trying sleep interrupted favorite dream
Fluke,one laying rock
Rudder,yeah
Fluke,oh good one
Rudder,oh yeah isnt
Fluke,yeah one favorites
Nemo,excuse us hello trying
Marlin,son son sea lionsthey natural predatorsthey could pounce moment
Nemo,dont look pouncy
Marlin,thats want think get behind let talking excuse worried friend restaurant
Fluke,mate restaurantyour friend okay
Fluke,fish hospital sigourney weaver says shell rescued rehabilitated released
Rudder,shell jiff know
Fluke,nasal parasite
Rudder,anemia
Fluke,fixed sent way
Marlin,oh thank goodness
Fluke,sure thats right dont worry ab gerald get rock
Rudder,shove gerald come
Fluke,get know better
Fluke,dont worry thing place marine life institute jewel morro bay california
Nemo,right looks like dory something besides forget
Marlin,thank nemo thank
Nemo,gon na get inside
Rudder,waityou want get inside mli
Marlin,desperately friend lost alone shes scared shell idea
Fluke,oh know way
Fluke,oooroo ooorooroo
Rudder,oooroo oooroo
Marlin,dont know sounds bad
Dory,yet
Hank,sh keep
Dory,hank im glad found feels like destiny
Hank,must millionth time destiny
Dory,uhoh said destiny im sorry im nervous im gon na meet parents havent seen dont even know long
Hank,see suffer shortterm
Dory,shortterm memory loss
Hank,look talking okay dont like talking dont like chatter questions oh im fine im fine news flash nobodys fine
Male Employee,oh im fine
Dory,hank look theres map
Hank,sh plan youre gon na read figure parents live im truck cleveland got
Dory,got first part
Hank,ugh
Male Employee,octopus escaped
Dory,wow look exhibits park one day seriously
Hank,pick one
Dory,okay
Male Employee,well tell everyone keep eye supposed releasing octopus back ocean today well course havent seen looking id find
Dory,hank
Hank,hurry
Dory,okay okay k starts k kid zowny kid zone
Hank,kids kids grab things im losing another tentacle
Dory,lost tentacle well youre octopus youre septopus may remember count
Hank,hurry
Dory,okay journey hey look shells
Young Dory,hey look shells daddy heres shell
Charlie,thats great dory found another one
Jenny,oh yes youre getting good dory
Young Dory,hey look shells hey live
Charlie,yes yes indeed
Young Dory,like shells
Jenny,thats right dear think could find another shell purple ones favorite
Young Dory,okay mommy
Dory,mommy purple shell purple shell hey home purple shell
Hank,half exhibits purple shells
Dory,dont understand remember purple shells favorite adorable giggle dad really friendly
Hank,wacky memorys gon na get us caught still think destiny
Dory,hank find folks
Hank,quiet
Carol,ugh base carol think might found missing octopus
Hank,see
Dory,sorry
Hank,could worse
Dory,hmm destiny destiny hank got feeling think get bucket
Carol,come
Hank,stop
Dory,seriously says destiny
Dory,weve got get bucket
Hank,im going bucket
Dory,go bucket bye hey guys im looking family oh good idea play dead im sorry got blink hold eyes open long hey guys wait second
Female Educator,next guest long time shes whale shark name destiny
Dory,destiny really
Female Educator,youll notice shes extremely nearsighted trouble navigating environment oh comes
Dory,ooh destiny youre fish
Destiny,wait
Dory,hi hello help
Destiny,whoa oh whoa
Dory,right ill go excuse hi
Destiny,blue blob talking
Dory,help lost family
Destiny,lost family
Dory,well long story truth told dont remember
Destiny,aw sad poor thing sorry great swimmer cant see well
Dory,oh think swim beautifully fact ive never seen fish swim like
Destiny,thank
Dory,youre welcome
Destiny,wait say
Dory,um youre welcome
Destiny,dory
Dory,yes
Destiny,dory
Dory,yes
Destiny,dory
Dory,yes
Destiny,dory
Dory,yes
Destiny,friends
Destiny,dory destiny
Dory,know
Destiny,course talked pipes little pipe pals
Destiny,aw youre pretty
Dory,know im
Destiny,yep open ocean exhibit
Dory,im open ocean exhibit thats parents got go take
Destiny,kind tough whale travel around
Bailey,please keep head hurts
Destiny,ugh
Dory,whos
Destiny,thats neighbor bailey brought head injury
Bailey,know youre talking destiny
Destiny,thinks cant use echolocation ive overheard doctors talking
Bailey,im right
Destiny,theres thing wrong
Bailey,hear every word youre saying
Dory,whats echolocation
Destiny,well baileys head supposed put call echo helps find objects far away oh apparently hes still healing
Bailey,know youre talking really cant echolocate
Destiny,oh really cant conversation cant
Bailey,hit head hard see swollen
Destiny,head supposed big youre beluga
Dory,echolocation oh like worlds powerful pair glasses
Bailey,glasses
Dory,sort like go hoo see things know
Bailey,ohthats interesting
Hank,listen square took map give tag
Dory,wait know parents theyre whats called place soap lotion
Destiny,open ocean
Bailey,open ocean
Dory,open ocean
Hank,open ocean know thats exhibit located right next dont care
Bailey,easy
Destiny,youre trying get open ocean exhibit go pipes
Hank,pipes great
Dory,pipes
Destiny,yep take two lefts swim straight youll hit
Dory,oh thats lot directions thats get hank
Hank,yeah
Dory,great lets go
Hank,im going wont fit go
Dory,thats im see cant im good directions
Hank,well thats bad deals deal wanted find parents thats get give tag
Dory,hank cant go pipes alone ill forget im going
Hank,problem tag
Dory,cant get way
Hank,im sorry theres way
Dory,theres way
Young Dory,theres way
Charlie,dont panic
Jenny,okay everything life easy isnt right charlie
Charlie,shes right somethings hard give
Jenny,charlie
Charlie,joke im kidding joke joke caution joker work
Jenny,joke got
Charlie,see kelpcake theres always another way
Young Dory,thank daddy
Dory,thank daddy nope father said theres always another way
Hank,way
Dory,open ocean open ocean
Destiny,open ocean im pretty sure building thats illdefined roundish like baileys head
Bailey,wait
Dory,always another way theres guys follow know get locomotion
Destiny,open ocean
Bailey,open ocean
Dory,exactly
Bailey,guys know cant swim right
Fluke,oooroo oooroo oooroo
Rudder,oooroo oooroo oooroo
Marlin,dont see going get us inside even
Fluke,calling course
Marlin,calling calling
Fluke,lads meet becky
Marlin,flying new information listen tell thank guys gone beyond really way get involves like swimming thats really strength
Fluke,look friend going quarantine thats take sick fish
Rudder,one one way place becky
Marlin,hi becky ow stop lets call pecky hurting
Nemo,think likes dad
Fluke,becky love two nice fish need get quarantine
Rudder,free today rebecca darling
Marlin,becky would work schedule ow doesnt understand im saying
Fluke,imprint mate
Marlin,imp
Fluke,imprint
Rudder,imprint
Fluke,look eye say oooroo shell sync look eye
Rudder,yeah
Marlin,nemo think devise alternate plan one involves staying water someone sane bird bird aint bird
Nemo,thats fine dad meantime dory forget us like said best
Marlin,fine okay look eye eye
Fluke,pick one mate
Marlin,becky ooh oooroo rooroo becky okay great exactly becky supposed carry us
Fluke,oh yeah almost forgot gerald
Gerald,hmm
Rudder,yeah gerald
Fluke,come son
Gerald,hmm
Fluke,come gerald give us pail well let sit rock
Rudder,yeah gerald swear
Gerald,hmm
Fluke,thats right shimmy
Rudder,come
Fluke,thats right
Rudder,mind dont scuff bum
Fluke,thank much gerald
Rudder,welcome time rock
Fluke,comfortable isnt times get
Rudder,times get gerald
Marlin,nuts keep getting talked insane choices
Rudder,good luck
Bailey,okay tell youre gon na
Destiny,yeah know im gon na signal big splash
Bailey,mark clear yet clear yet
Dory,til destiny gives signal
Hank,know something idea youre even
Dory,mean
Hank,seems like lot trouble find fish shortterm memory loss id swim blue forget everything
Dory,well dont want want family
Hank,kid dont want anyone worry youre lucky memories problems
Dory,huh memories problems
Bailey,still clear still clear
Destiny,dont say time
Destiny,tell time
Bailey,okay go wait
Destiny,go wait serious
Bailey,okay count three
Destiny,dont count say go
Bailey,go
Destiny,okay okay
Dory,wow look mean
Hank,thats signal
Dory,go go go thats signal
Hank,remember destiny said follow signs open ocean exhibit cant see squat job look
Dory,got follow signs open ocean im gon na repeat okay work follow signs open ocean follow signs open ocean mm go right follow signs open ocean follow signs open ocean follow signs open ocean left follow signs open ocean
Hank,steer clear people especially kids dont want touched
Dory,shh mess
Woman 1,oh poor baby let get oh oh
Hank,go go
Dory,oh sorry okay looking looking
Marlin,rooroo becky drop us anywhere okay
Nemo,wait dad think shes looking place land
Marlin,shes confused nemo doesnt even know way look wait becky oooroo ooorooroorooroo
Dory,okay going somewhere question
Hank,way see sign
Dory,im looking im looking something something gets family worlds powerful pair know know another memory hank need go way left go left
Marlin,becky oooroo oooroo
Nemo,cant hear dad
Marlin,right new plan get closer becky hear us
Nemo,dont think move pail
Marlin,nemo without beckys lost
Nemo,dad trust
Marlin,trust forget us together
Nemo,trust becky
Marlin,trust beckys eating cup becky becky oooroo whoa well least stuck bucket anymore
Nemo,top quarantine
Sigourney Weaver,baby otter talk beginning
Female Otter Trainer,thanks sigourney weaver hey wants learn otters
Dory,looking worlds powerful pair glasses otters
Female Otter Trainer,welcome huge cuddle party
Dory,cuddle party im
Hank,close open ocean
Dory,yes think well dont know saw sign
Hank,sign
Dory,worlds powerful pair glasses
Hank,talking would follow sign
Dory,well remembered
Hank,wasnt plan ow right thats wasted time
Dory,wait
Hank,transport truck leaves dawn im missing give tag
Dory,wait remembered sign
Dory,im remembering feel like memorys getting better think
Hank,memory working cant remember anything probably lost family first place right look lets take notch give tag
Dory,know something guy three hearts youre nice
Hank,three hearts talking dont three hearts
Dory,yes
Hank,dont
Hank,dont
Hank,stop saying
Dory,fun factthe octopus three hearts two pump blood gills third pumps blood throughout body
Hank,wait
Dory,know someone three hearts shouldnt mean mean say would lose someone love lose hank hank hank
Sea Cucumber,hans
Dory,hans im looking hank
Sea Cucumber,hans
Dory,hank k hank
Sea Cucumber,hands
Dory,hands oh oh oh hands hank hank
Seastar,arm
Dory,hank hank oh please help im looking please help ive lost friend frank im sorry frank
Sea Cucumber 2,youre space
Dory,hes octopus septo septopus thats right hes septopus septopus septopus septopus one two three four five six septopus hes camouflaged hank come hank lets get
Hank,dory
Dory,hank whats plan
Hank,plan im gon na stay forever
Dory,okay good plan im sorry im sorry hank im sorry cant remember right
Jenny,sweetie sweetie
Charlie,oh watch kelpcake
Male Sunfish,oh watch youre going
Young Dory,im sorry daddy im sorry cant remember right
Jenny,oh sweetie sweetie dont need sorry know need keep swimming
Charlie,yeah
Jenny,bet remember gon na sing song keep swimming keep swimming keep swimming swimming swimming swim swim swim swim
Charlie,keep swimming swimming swimming swim swim swim swim
Young Dory,keep swimming keep swimming
Dory,parents taught song sang family time thought made
Hank,song
Dory,keep swimming hank weve got keep swimming
Hank,way listen dangerous move
Dory,listen know youre scared cant give follow keep swimming keep swimming mom wrote song gon na get us sing hank come im coming mommy im coming daddy gon na okay
Worms,stop
Dory,huh
Worms,turn back turn back youre headed right pokers cove pokers cove
Dory,pokers cove
Seastar,incoming
Hank,stop
Child,oh
Hank,sorry
Dory,thats okay everybody nothing ashamed hank oh hank
Hank,wow got us
Dory,huh got us
Hank,mean technically also got us hadnt im sure would gotten
Dory,echolocation echolocation worlds powerful pair glasses found
Hank,found
Sigourney Weaver,welcome open ocean
Dory,home
Marlin,oooroo oooroo oooroo oooroo oooroo oooroo oooroo oooroo oooroo
Nemo,dad stop shes coming back
Marlin,might oooroo oooroo
Nemo,dad made feel like couldnt
Marlin,youre talking becky
Nemo,miss dory
Marlin,truth im worried
Nemo,shes one worried us
Marlin,well would definitely idea dont know
Nemo,dont think knows dad
Marlin,well well think
Nemo,would dory
Marlin,would dory
Nemo,yeah would dory
Marlin,would assess situation shed evaluate would analyze options
Nemo,dad thats would marlin
Marlin,right thats would wouldnt even think twice would look first thing sees
Nemo,dory would
Marlin,nemo hold whoa hey working whoa keep gasping okay
Nemo,yeah would dory
Giant Clam,whos dory
Marlin,oh boy happy see
Giant Clam,appy see im happy see havent anyone talk years
Marlin,years wow unfortunately cant stay long go
Giant Clam,would want go landed stay tell
Marlin,would love son get quarantine
Giant Clam,wonderful thing son
Marlin,yeah
Giant Clam,course dont family dated nice scallop
Marlin,thats fascinating
Giant Clam,scallops eyes looking something different im kidding well scallops eyes see soul break heart oh shelley
Marlin,would dory
Sigourney Weaver,come us explore mysterious world open ocean
Dory,okay hank follow
Hank,youre cup
Dory,right ill follow
Hank,wait
Dory,octopus three hearts huh thats fun fact really happening
Hank,shh well looks like kid got truck catch
Dory,wait wait something
Hank,tag
Dory,tag right know think im gon na remember
Hank,oh youll forget heartbeat kid three heartbeats ill hard time forgetting though
Dory,parents actually
Hank,okay
Dory,im ready
Hank,yeah think
Dory,wow okay okay pardon oh hi hello seen mom dad without excuse seen couple theyre old like old like older even okay bye hi know anyone lost kida long time ago would dont know long ago exact okay youre hurry
Male Sunfish,ho ho watch youre going
Dory,oh sorry
Sigourney Weaver,goal every animal rescue care eventually return home belong
Dory,shells
Charlie,go ever get lost dory
Jenny,follow shells
Young Dory,hey look shells
Dory,follow shells
Young Dory,hey live
Charlie,yes yes indeed
Dory,home thats home mom dad
Charlie,okay kelpcake count ten
Young Dory,one two three four youre welcome
Charlie,talking kelpcake
Young Dory,pipe pal destiny
Dory,mom dad mommy loves purple shells
Young Dory,mommy
Jenny,whats going happen
Charlie,jenny
Young Dory,oh dont cry mommy dont cry
Jenny,think shes make charlie
Charlie,oh honey itll okay
Young Dory,mommy loves purple shells
Jenny,dory
Charlie,dory
Jenny,dory
Young Dory,mommy
Charlie,dory
Young Dory,mommy daddy
Dory,parents lost fault
Female Crab,wheres tag
Dory,huh
Female Crab,tag missing youre quarantine
Dory,quarantine
Female Crab,yeah thats took blue tangs isnt right bill
Bill,yep blue tangs getting exhibit cleveland shipped truck crack dawn must nice
Dory,parents back quarantine theyre shipped cleveland got ive got get dont know im
Female Crab,dont worry easy get quarantine go pipes honey
Dory,oh oh cant
Dory,ill forget im going cant somewhere nobody help
Bill,well guess youre stuck
Female Crab,youre helping bill go want youll fine
Dory,oh boy could tell get pipes
Female Crab,sure honey two lefts right simple
Dory,okay two lefts right two lefts right okay dont forget two lefts right two lefts right two lefts right two lefts right two lefts right two lefts right shoot left right wait already take left oh happening okay hold hold hold hold way going cant remember okay okay im lost hard cant remember im forgetting everything im gon na stuck forever pipes pipes pipe pals pipe pals pipe pals
Bailey,swim swim swim
Destiny,yeah dont know
Bailey,trust wont let hit anything wall
Destiny,whats point ill never learn get around
Bailey,better cant youll never ocean really focus okay wall
Dory,destiny
Destiny,dory hello
Dory,im lost pipes parents quarantine
Destiny,hang dory bailey youve got use echolocation
Bailey,know broken
Destiny,stop try ooh thing dory talked
Bailey,dont think
Destiny,dont bail bailey
Bailey,ooh ooh ooh
Destiny,come bailey tell huh really focus
Bailey,ooh feel stupid
Destiny,bailey
Bailey,sorry ooh
Dory,hello
Bailey,guys ooh guys ooh
Bailey,im getting something ooh go ooh oh yes ooh see quarantine amazing ooh see everything see
Destiny,see
Bailey,lifes rainbow see right doesnt work way
Destiny,bailey
Bailey,okay tell dory go left
Destiny,says go left
Dory,left
Bailey,ooh straight
Destiny,straight
Dory,straight
Bailey,ooh go right
Destiny,right
Dory,right
Bailey,ooh im lightheaded ooh wait ooh im picking something else hold let zoom holy neptune shes alone ooh
Bailey,cant tell coming
Destiny,oh dory swim swim way
Bailey,go right
Destiny,right
Bailey,right oh shes heading right towards
Destiny,dory turn around thats great dory youre headed right toward us
Dory,want go right
Bailey,right oh cant look
Marlin,dory
Nemo,dory
Dory,marlin
Nemo,knew youre okay
Marlin,oh gosh
Bailey,consuming eating alive
Nemo,youre okay
Dory,found find
Marlin,crazy clam wouldnt stop talking
Nemo,slowly backed away pipes started looking
Destiny,dory im sorry
Marlin,okay
Dory,hang got take okay sorry
Destiny,youre okay
Bailey,yes
Dory,found marlin nemo
Nemo,dad hear dory really speak whale
Marlin,heard bringing back bad memories lets get say go way follow time head home
Dory,wait wait wait parents
Nemo,found parents
Dory,well exactly mean yet know dont know exactly get know im getting help
Destiny,quarantine
Dory,quarantine thats oh met septopus super cranky secretly kind sweet got exhibit exhibit
Marlin,dory
Dory,think parents want see
Nemo,wouldnt want see
Dory,lost
Marlin,dory parents going overjoyed see theyre going missed everything
Dory,really
Marlin,know found
Dory,something clam
Dory,oyster
Dory,mollusk
Dory,something
Dory,dont
Marlin,clam hard time nemo thought would dory
Dory,would say
Marlin,ever since ive met youve shown stuff never dreamed crazy things outsmarting sharks jumping jellyfish finding son made happen
Dory,really didnt know thought unless forgot
Marlin,didnt forget never told im sorry dory find parents youll home
Nemo,dad mean say goodbye dory
Marlin,yes nemo
Male Worker,hey much got left load
Female Worker,last row
Male Worker,sooner finish sooner truck gets cleveland
Dory,watch turn
Marlin,watch ow
Nemo,late
Dory,okay think close whee
Yellow Fish,hi
Nemo,quarantine
Dory,yes quarantine parents
Marlin,going hey going towards door
Female Yellow Fish,better
Male Yellow Fish,feel fantastic
Male Yellow Fish 2,dude
Dory,family come lets go excuse
Marlin,dory wait minute
Dory,im coming mommy im coming daddy whoohoo almost home almost home im almost home
Marlin,think im getting hang oh hear footsteps
Dory,hank
Hank,quiet
Dory,hank need get tank rhymed
Marlin,parents
Hank,look youve got three minutes get everyone cup im truck cleveland got
Dory,got oh boy mom dad mom dad hey everybody dory
Blue Tangs,dory dory dory jenny charlies dory dory
Dory,mom dad mom dad mom dad
